,hgnc.symbol,bin.id
SLC35E2A,SLC35E2A,6
NADK,NADK,7
GNB1,GNB1,7
GNB1-DT,GNB1-DT,8
CALML6,CALML6,8
TMEM52,TMEM52,8
CFAP74,CFAP74,8
GABRD,GABRD,8
PRKCZ-DT,PRKCZ-DT,9
PRKCZ,PRKCZ,9
PRKCZ-AS1,PRKCZ-AS1,10
FAAP20,FAAP20,10
SKI,SKI,10
MORN1,MORN1,11
RER1,RER1,11
PEX10,PEX10,11
PLCH2,PLCH2,11
PANK4,PANK4,12
HES5,HES5,12
TNFRSF14-AS1,TNFRSF14-AS1,12
TNFRSF14,TNFRSF14,12
PRXL2B,PRXL2B,13
MMEL1,MMEL1,13
MMEL1-AS1,MMEL1-AS1,13
TTC34,TTC34,13
ACTRT2,ACTRT2,15
PRDM16-DT,PRDM16-DT,15
PRDM16,PRDM16,15
MIR4251,MIR4251,16
ARHGEF16,ARHGEF16,18
MEGF6,MEGF6,18
MIR551A,MIR551A,19
TPRG1L,TPRG1L,19
WRAP73,WRAP73,19
TP73,TP73,19
TP73-AS3,TP73-AS3,20
TP73-AS2,TP73-AS2,20
TP73-AS1,TP73-AS1,20
CCDC27,CCDC27,20
SMIM1,SMIM1,20
LRRC47,LRRC47,20
RN7SL574P,RN7SL574P,20
CEP104,CEP104,21
DFFB,DFFB,21
C1orf174,C1orf174,21
LINC01134,LINC01134,21
LINC01346,LINC01346,22
LINC01345,LINC01345,22
LINC02780,LINC02780,22
EEF1DP6,EEF1DP6,23
LINC01777,LINC01777,25
LINC01646,LINC01646,26
AJAP1,AJAP1,27
LINC02781,LINC02781,29
LINC02782,LINC02782,30
MIR4689,MIR4689,36
NPHP4,NPHP4,36
KCNAB2,KCNAB2,36
CHD5,CHD5,37
RPL22,RPL22,38
RNF207-AS1,RNF207-AS1,38
RNF207,RNF207,38
ICMT,ICMT,38
ICMT-DT,ICMT-DT,38
HES3,HES3,38
GPR153,GPR153,38
ACOT7,ACOT7,38
HES2,HES2,40
ESPN,ESPN,40
MIR4252,MIR4252,40
TNFRSF25,TNFRSF25,40
PLEKHG5,PLEKHG5,40
NOL9,NOL9,40
RNU6-731P,RNU6-731P,40
TAS1R1,TAS1R1,41
ZBTB48,ZBTB48,41
KLHL21,KLHL21,41
PHF13,PHF13,41
THAP3,THAP3,41
DNAJC11,DNAJC11,41
LINC01672,LINC01672,42
CAMTA1-DT,CAMTA1-DT,42
CAMTA1,CAMTA1,42
RNU1-8P,RNU1-8P,45
CAMTA1-IT1,CAMTA1-IT1,47
CAMTA1-AS2,CAMTA1-AS2,47
CAMTA1-AS1,CAMTA1-AS1,47
VAMP3,VAMP3,49
PER3,PER3,50
UTS2,UTS2,50
TNFRSF9,TNFRSF9,50
PARK7,PARK7,51
ERRFI1,ERRFI1,51
ERRFI1-DT,ERRFI1-DT,51
RPL7AP18,RPL7AP18,51
LINC01714,LINC01714,53
RNU1-7P,RNU1-7P,53
RNU6-991P,RNU6-991P,53
SLC45A1,SLC45A1,53
RERE,RERE,54
RERE-AS1,RERE-AS1,54
RPL7P11,RPL7P11,57
RPL7P7,RPL7P7,57
RPL23AP19,RPL23AP19,57
ENO1,ENO1,57
MIR6728,MIR6728,57
ENO1-AS1,ENO1-AS1,57
RNU6-304P,RNU6-304P,58
HMGN2P17,HMGN2P17,58
CA6,CA6,58
RN7SL451P,RN7SL451P,58
SLC2A7,SLC2A7,58
SLC2A5,SLC2A5,59
GPR157,GPR157,59
MIR34AHG,MIR34AHG,59
MIR34A,MIR34A,59
LNCTAM34A,LNCTAM34A,60
H6PD,H6PD,60
SPSB1,SPSB1,61
LINC02606,LINC02606,61
RNA5SP40,RNA5SP40,62
SLC25A33,SLC25A33,62
TMEM201,TMEM201,63
PIK3CD,PIK3CD,63
PIK3CD-AS1,PIK3CD-AS1,63
PIK3CD-AS2,PIK3CD-AS2,63
CLSTN1,CLSTN1,64
MZT1P1,MZT1P1,64
CTNNBIP1,CTNNBIP1,65
LZIC,LZIC,65
NMNAT1,NMNAT1,65
RN7SKP269,RN7SKP269,65
TMEM274P,TMEM274P,65
MIR5697,MIR5697,65
RBP7,RBP7,66
UBE4B,UBE4B,66
PGAM1P11,PGAM1P11,66
RNU6-828P,RNU6-828P,67
KIF1B,KIF1B,67
RNU6-37P,RNU6-37P,68
RN7SL731P,RN7SL731P,68
PGD,PGD,69
CENPS-CORT,CENPS-CORT,69
CENPS,CENPS,69
CORT,CORT,69
DFFA,DFFA,69
PEX14,PEX14,69
RN7SL614P,RN7SL614P,70
CASZ1,CASZ1,70
HSPE1P24,HSPE1P24,72
C1orf127,C1orf127,73
CFL1P6,CFL1P6,73
TARDBP,TARDBP,73
MASP2,MASP2,73
SRM,SRM,73
EXOSC10,EXOSC10,73
EXOSC10-AS1,EXOSC10-AS1,74
MTOR,MTOR,74
MTOR-AS1,MTOR-AS1,74
RNU6-537P,RNU6-537P,74
ANGPTL7,ANGPTL7,74
RNU6-291P,RNU6-291P,75
RPL39P6,RPL39P6,75
UBIAD1,UBIAD1,75
UBE2V2P3,UBE2V2P3,75
MTCYBP45,MTCYBP45,76
DISP3,DISP3,76
LINC01647,LINC01647,77
FBXO2,FBXO2,78
FBXO44,FBXO44,78
MAD2L2,MAD2L2,78
FBXO6,FBXO6,78
DRAXIN,DRAXIN,78
AGTRAP,AGTRAP,78
C1orf167,C1orf167,79
C1orf167-AS1,C1orf167-AS1,79
MTHFR,MTHFR,79
CLCN6,CLCN6,79
NPPA,NPPA,79
NPPB,NPPB,79
SBF1P2,SBF1P2,79
RNU5E-1,RNU5E-1,80
RNU5E-4P,RNU5E-4P,80
KIAA2013,KIAA2013,80
PLOD1,PLOD1,80
MFN2,MFN2,80
MIIP,MIIP,80
MIR6729,MIR6729,80
RN7SL649P,RN7SL649P,81
TNFRSF8,TNFRSF8,81
RNU6-777P,RNU6-777P,81
RPL23AP89,RPL23AP89,81
MIR7846,MIR7846,81
TNFRSF1B,TNFRSF1B,81
MIR4632,MIR4632,82
RPL10P17,RPL10P17,82
VPS13D,VPS13D,82
SNORA59A,SNORA59A,84
LINC02766,LINC02766,84
DHRS3,DHRS3,84
RNU6ATAC18P,RNU6ATAC18P,84
MIR6730,MIR6730,84
AADACL4,AADACL4,85
AADACL3,AADACL3,85
CFAP107,CFAP107,86
PRAMEF12,PRAMEF12,86
PRAMEF1,PRAMEF1,86
LINC01784,LINC01784,86
PRAMEF11,PRAMEF11,86
PRAMEF30P,PRAMEF30P,86
HNRNPCL1,HNRNPCL1,86
PRAMEF2,PRAMEF2,86
PRAMEF4,PRAMEF4,86
PRAMEF10,PRAMEF10,86
PRAMEF7,PRAMEF7,86
RNU6-1072P,RNU6-1072P,86
PRAMEF29P,PRAMEF29P,86
PRAMEF6,PRAMEF6,86
PRAMEF28P,PRAMEF28P,86
PRAMEF27,PRAMEF27,86
HNRNPCL3,HNRNPCL3,86
PRAMEF25,PRAMEF25,86
PRAMEF34P,PRAMEF34P,86
PRAMEF35P,PRAMEF35P,86
HNRNPCL2,HNRNPCL2,87
PRAMEF36P,PRAMEF36P,87
PRAMEF26,PRAMEF26,87
HNRNPCL4,HNRNPCL4,87
PRAMEF9,PRAMEF9,87
PRAMEF13,PRAMEF13,87
PRAMEF18,PRAMEF18,87
PRAMEF31P,PRAMEF31P,87
PRAMEF5,PRAMEF5,87
PRAMEF32P,PRAMEF32P,87
RNU6-771P,RNU6-771P,87
PRAMEF8,PRAMEF8,87
PRAMEF33,PRAMEF33,87
PRAMEF15,PRAMEF15,87
PRAMEF14,PRAMEF14,87
PRAMEF19,PRAMEF19,87
PRAMEF17,PRAMEF17,87
PRAMEF20,PRAMEF20,87
LRRC38,LRRC38,88
BRWD1P1,BRWD1P1,88
PDPN,PDPN,88
RNA5SP41,RNA5SP41,89
PRDM2,PRDM2,89
KAZN,KAZN,91
RNU6-1265P,RNU6-1265P,92
KAZN-AS1,KAZN-AS1,94
TBCAP2,TBCAP2,96
TMEM51-AS1,TMEM51-AS1,100
TMEM51,TMEM51,100
TMEM51-AS2,TMEM51-AS2,100
MFFP1,MFFP1,100
ZBTB2P1,ZBTB2P1,100
FHAD1,FHAD1,100
FHAD1-AS1,FHAD1-AS1,101
EFHD2-AS1,EFHD2-AS1,102
EFHD2,EFHD2,102
CTRC,CTRC,102
CELA2A,CELA2A,102
CELA2B,CELA2B,102
CASP9,CASP9,102
DNAJC16,DNAJC16,103
SCARNA21B,SCARNA21B,103
AGMAT,AGMAT,103
CHCHD2P6,CHCHD2P6,103
RNU7-179P,RNU7-179P,103
CD24P1,CD24P1,103
DDI2,DDI2,103
RSC1A1,RSC1A1,104
PLEKHM2,PLEKHM2,104
SLC25A34,SLC25A34,104
SLC25A34-AS1,SLC25A34-AS1,104
TMEM82,TMEM82,104
FBLIM1,FBLIM1,104
RPL12P14,RPL12P14,104
UQCRHL,UQCRHL,105
SPEN-AS1,SPEN-AS1,105
SPEN,SPEN,105
ZBTB17,ZBTB17,106
TBC1D3P6,TBC1D3P6,106
SRARP,SRARP,106
HSPB7,HSPB7,106
CLCNKA,CLCNKA,106
FAM131C2P,FAM131C2P,106
CLCNKB,CLCNKB,106
FAM131C,FAM131C,106
EPHA2,EPHA2,107
EPHA2-AS1,EPHA2-AS1,107
ARHGEF19-AS1,ARHGEF19-AS1,107
ARHGEF19,ARHGEF19,107
ANO7L1,ANO7L1,108
CPLANE2,CPLANE2,108
MT1XP1,MT1XP1,108
FBXO42,FBXO42,108
SZRD1,SZRD1,109
RPL22P3,RPL22P3,109
SPATA21,SPATA21,109
NECAP2,NECAP2,109
LINC01772,LINC01772,109
CROCCP3,CROCCP3,109
RNU1-1,RNU1-1,110
LINC01783,LINC01783,110
RNU1-6P,RNU1-6P,110
PDE4DIPP8,PDE4DIPP8,110
NBPF1,NBPF1,110
CROCCP2,CROCCP2,110
MST1P2,MST1P2,110
RNU1-3,RNU1-3,110
EIF1AXP1,EIF1AXP1,110
ESPNP,ESPNP,110
CROCC,CROCC,110
RNU1-4,RNU1-4,110
CROCCP4,CROCCP4,110
MST1L,MST1L,110
PDE4DIPP9,PDE4DIPP9,110
MIR3675,MIR3675,110
RNU1-5P,RNU1-5P,110
RNU1-2,RNU1-2,110
MFAP2,MFAP2,111
ATP13A2,ATP13A2,111
SDHB,SDHB,111
PADI2,PADI2,112
LINC02783,LINC02783,113
PADI1,PADI1,113
PADI3,PADI3,113
MIR3972,MIR3972,113
PADI4,PADI4,113
PADI6,PADI6,114
RCC2,RCC2,114
RCC2-AS1,RCC2-AS1,114
ARHGEF10L,ARHGEF10L,115
LINC02810,LINC02810,116
ACTL8,ACTL8,117
LINC01654,LINC01654,119
IGSF21,IGSF21,119
IGSF21-AS1,IGSF21-AS1,120
KLHDC7A,KLHDC7A,122
DYNLL1P3,DYNLL1P3,122
PAX7,PAX7,123
TAS1R2,TAS1R2,125
ALDH4A1,ALDH4A1,125
MIR4695,MIR4695,125
MIR1290,MIR1290,125
IFFO2,IFFO2,125
UBR4,UBR4,126
EMC1-AS1,EMC1-AS1,127
EMC1,EMC1,127
MRTO4,MRTO4,128
AKR7L,AKR7L,128
AKR7A3,AKR7A3,128
AKR7A2,AKR7A2,128
RNU6-1099P,RNU6-1099P,128
SLC66A1,SLC66A1,128
CAPZB,CAPZB,128
RN7SL277P,RN7SL277P,129
MICOS10,MICOS10,129
RNU4-28P,RNU4-28P,129
MICOS10-DT,MICOS10-DT,130
NBL1,NBL1,130
MICOS10-NBL1,MICOS10-NBL1,130
HTR6,HTR6,131
TMCO4,TMCO4,131
RNF186,RNF186,132
RNF186-AS1,RNF186-AS1,132
OTUD3,OTUD3,132
PLA2G2E,PLA2G2E,132
RN7SL304P,RN7SL304P,133
PLA2G2A,PLA2G2A,133
PLA2G5,PLA2G5,133
PLA2G2D,PLA2G2D,134
PLA2G2F,PLA2G2F,134
PLA2G2C,PLA2G2C,134
UBXN10,UBXN10,134
LINC01757,LINC01757,135
VWA5B1,VWA5B1,135
LINC01141,LINC01141,136
CAMK2N1,CAMK2N1,137
MUL1,MUL1,137
RPS4XP4,RPS4XP4,137
FAM43B,FAM43B,137
CDA,CDA,137
PINK1,PINK1,138
MIR6084,MIR6084,138
PINK1-AS,PINK1-AS,138
DDOST,DDOST,138
KIF17,KIF17,138
SH2D5,SH2D5,138
HP1BP3,HP1BP3,138
EIF4G3,EIF4G3,139
RNU7-200P,RNU7-200P,139
MIR1256,MIR1256,140
RPS15AP6,RPS15AP6,140
HSPE1P27,HSPE1P27,142
ECE1,ECE1,142
ECE1-AS1,ECE1-AS1,142
PPP1R11P1,PPP1R11P1,143
PDE4DIPP10,PDE4DIPP10,143
NBPF2P,NBPF2P,143
HS6ST1P1,HS6ST1P1,143
CROCCP5,CROCCP5,143
NBPF3,NBPF3,143
PFN1P10,PFN1P10,144
ALPL,ALPL,144
LINC02596,LINC02596,144
RAP1GAP,RAP1GAP,145
USP48,USP48,145
LDLRAD2,LDLRAD2,146
HSPG2,HSPG2,146
CELA3B,CELA3B,147
RN7SL386P,RN7SL386P,147
RNU6-1022P,RNU6-1022P,147
CELA3A,CELA3A,147
RN7SL186P,RN7SL186P,147
RNU6-776P,RNU6-776P,147
LINC01635,LINC01635,148
LINC00339,LINC00339,148
CDC42-AS1,CDC42-AS1,148
CDC42,CDC42,148
CDC42-IT1,CDC42-IT1,148
MPHOSPH6P1,MPHOSPH6P1,148
WNT4,WNT4,148
MIR4418,MIR4418,149
PPIAP34,PPIAP34,150
ZBTB40,ZBTB40,151
ZBTB40-IT1,ZBTB40-IT1,151
EPHA8,EPHA8,151
MIR6127,MIR6127,152
C1QA,C1QA,152
C1QC,C1QC,152
C1QB,C1QB,152
EPHB2,EPHB2,153
MIR4684,MIR4684,153
MIR4253,MIR4253,154
LACTBL1,LACTBL1,154
TEX46,TEX46,155
KDM1A,KDM1A,155
MIR3115,MIR3115,155
LUZP1,LUZP1,155
RNU6-514P,RNU6-514P,156
RNU6-135P,RNU6-135P,156
HTR1D,HTR1D,156
LINC01355,LINC01355,157
HNRNPR,HNRNPR,157
ZNF436,ZNF436,157
ZNF436-AS1,ZNF436-AS1,157
TCEA3,TCEA3,157
ASAP3,ASAP3,158
E2F2,E2F2,158
ID3,ID3,159
MDS2,MDS2,159
EEF1A1P48,EEF1A1P48,160
RPL11,RPL11,160
ELOA-AS1,ELOA-AS1,160
ELOA,ELOA,160
PITHD1,PITHD1,160
LYPLA2,LYPLA2,160
GALE,GALE,160
HMGCL,HMGCL,161
FUCA1,FUCA1,161
CNR2,CNR2,161
BTBD6P1,BTBD6P1,161
MIR378F,MIR378F,161
H3P1,H3P1,162
PNRC2,PNRC2,162
SRSF10,SRSF10,162
RPL36P5,RPL36P5,162
MYOM3,MYOM3,162
MYOM3-AS1,MYOM3-AS1,162
IL22RA1,IL22RA1,163
IFNLR1,IFNLR1,163
GRHL3,GRHL3,163
LINC02800,LINC02800,163
GRHL3-AS1,GRHL3-AS1,164
STPG1,STPG1,165
NIPAL3,NIPAL3,165
RCAN3AS,RCAN3AS,166
RCAN3,RCAN3,166
NCMAP-DT,NCMAP-DT,166
NCMAP,NCMAP,166
SRRM1,SRRM1,167
CLIC4,CLIC4,167
RNU6-1208P,RNU6-1208P,168
RUNX3,RUNX3,168
MIR6731,MIR6731,169
RUNX3-AS1,RUNX3-AS1,169
MIR4425,MIR4425,169
LINC02793,LINC02793,170
IFITM3P7,IFITM3P7,170
SYF2,SYF2,171
RSRP1,RSRP1,171
RHD,RHD,171
SDHDP6,SDHDP6,171
TMEM50A,TMEM50A,171
RHCE,RHCE,172
MACO1,MACO1,172
LDLRAP1,LDLRAP1,173
MAN1C1,MAN1C1,173
SELENON,SELENON,175
MTFR1L,MTFR1L,175
AUNIP,AUNIP,175
PAQR7,PAQR7,175
STMN1,STMN1,175
SNRPFP2,SNRPFP2,175
MIR3917,MIR3917,175
PAFAH2,PAFAH2,176
RNU6-110P,RNU6-110P,176
EXTL1,EXTL1,176
SLC30A2,SLC30A2,176
TRIM63,TRIM63,176
PDIK1L,PDIK1L,177
FAM110D,FAM110D,177
C1orf232,C1orf232,177
ZNF593OS,ZNF593OS,177
ZNF593,ZNF593,177
CNKSR1,CNKSR1,177
CATSPER4,CATSPER4,177
ZPLD2P,ZPLD2P,178
CEP85,CEP85,178
SH3BGRL3,SH3BGRL3,178
UBXN11,UBXN11,178
CD52,CD52,178
CRYBG2,CRYBG2,178
ZNF683,ZNF683,179
LIN28A,LIN28A,179
DHDDS,DHDDS,179
DHDDS-AS1,DHDDS-AS1,179
HMGN2,HMGN2,179
DPPA2P2,DPPA2P2,180
RPS6KA1,RPS6KA1,180
MIR1976,MIR1976,180
RN7SL679P,RN7SL679P,180
RNU7-29P,RNU7-29P,180
ARID1A,ARID1A,181
PIGV,PIGV,182
RN7SL165P,RN7SL165P,182
ZDHHC18,ZDHHC18,182
SFN,SFN,182
GPN2,GPN2,182
GPATCH3,GPATCH3,182
NUDC,NUDC,182
NR0B2,NR0B2,183
KDF1,KDF1,183
RPL12P13,RPL12P13,183
RPL32P6,RPL32P6,183
OSTCP2,OSTCP2,183
TRNP1,TRNP1,183
TENT5B,TENT5B,183
SLC9A1,SLC9A1,184
CHCHD3P3,CHCHD3P3,185
NPM1P39,NPM1P39,185
SNRPEP7,SNRPEP7,185
WDTC1-DT,WDTC1-DT,185
WDTC1,WDTC1,185
TMEM222,TMEM222,186
RNU6-48P,RNU6-48P,186
ACTG1P20,ACTG1P20,186
SYTL1,SYTL1,186
MAP3K6,MAP3K6,186
FCN3,FCN3,186
CD164L2,CD164L2,186
GPR3,GPR3,186
WASF2,WASF2,186
AHDC1,AHDC1,187
FGR,FGR,188
LINC02574,LINC02574,188
IFI6,IFI6,188
RNU6-949P,RNU6-949P,188
CHMP1AP1,CHMP1AP1,188
RNU6-424P,RNU6-424P,188
FAM76A,FAM76A,189
RPEP3,RPEP3,189
STX12,STX12,189
RNU6-1245P,RNU6-1245P,189
PPP1R8,PPP1R8,189
SCARNA1,SCARNA1,189
THEMIS2,THEMIS2,190
RPA2,RPA2,190
SMPDL3B,SMPDL3B,190
XKR8,XKR8,190
EYA3,EYA3,190
RN7SL559P,RN7SL559P,191
SPCS2P4,SPCS2P4,191
RNU6-176P,RNU6-176P,192
PTAFR,PTAFR,192
DNAJC8,DNAJC8,192
ATP5IF1,ATP5IF1,192
SESN2,SESN2,192
MED18,MED18,193
PHACTR4,PHACTR4,193
RNU6ATAC27P,RNU6ATAC27P,194
RCC1,RCC1,194
SNHG3,SNHG3,194
SNORA73A,SNORA73A,194
SNORA73B,SNORA73B,194
PRDX3P2,PRDX3P2,194
TRNAU1AP,TRNAU1AP,195
SNHG12,SNHG12,195
SNORD99,SNORD99,195
SNORA61,SNORA61,195
SNORA44,SNORA44,195
SNORA16A,SNORA16A,195
TAF12,TAF12,195
RAB42,RAB42,195
TAF12-DT,TAF12-DT,195
RNU11,RNU11,195
GMEB1,GMEB1,195
YTHDF2,YTHDF2,196
OPRD1,OPRD1,196
EPB41,EPB41,197
TMEM200B,TMEM200B,199
SRSF4,SRSF4,199
MECR,MECR,199
PTPRU,PTPRU,200
LINC01756,LINC01756,200
LINC01648,LINC01648,205
MATN1,MATN1,210
MATN1-AS1,MATN1-AS1,210
LAPTM5,LAPTM5,210
MIR4420,MIR4420,210
LINC01778,LINC01778,211
RN7SKP91,RN7SKP91,211
SDC3,SDC3,211
RN7SL371P,RN7SL371P,212
PUM1,PUM1,212
SELENOWP1,SELENOWP1,213
NKAIN1,NKAIN1,214
SNRNP40,SNRNP40,214
ZCCHC17,ZCCHC17,214
FABP3,FABP3,215
SERINC2,SERINC2,215
EEF1A1P46,EEF1A1P46,216
RNU6-40P,RNU6-40P,216
LDC1P,LDC1P,216
LINC01226,LINC01226,216
TINAGL1,TINAGL1,216
HCRTR1,HCRTR1,217
PEF1,PEF1,217
PEF1-AS1,PEF1-AS1,217
COL16A1,COL16A1,217
ADGRB2,ADGRB2,218
MIR4254,MIR4254,218
SPOCD1,SPOCD1,218
PTP4A2,PTP4A2,219
KHDRBS1,KHDRBS1,220
TMEM39B,TMEM39B,220
MIR5585,MIR5585,220
KPNA6,KPNA6,220
TXLNA,TXLNA,221
CCDC28B,CCDC28B,221
IQCC,IQCC,221
DCDC2B,DCDC2B,221
TMEM234,TMEM234,221
EIF3I,EIF3I,221
MTMR9LP,MTMR9LP,221
FAM167B,FAM167B,221
LCK,LCK,221
HDAC1,HDAC1,222
MARCKSL1,MARCKSL1,222
TSSK3,TSSK3,222
FAM229A,FAM229A,222
BSDC1,BSDC1,222
GAPDHP20,GAPDHP20,223
LRRC37A12P,LRRC37A12P,223
RN7SL122P,RN7SL122P,223
ZBTB8B,ZBTB8B,223
ZBTB8A,ZBTB8A,224
ZBTB8OS,ZBTB8OS,224
RBBP4,RBBP4,224
SYNC,SYNC,225
KIAA1522,KIAA1522,225
YARS1,YARS1,225
S100PBP,S100PBP,226
FNDC5,FNDC5,226
HPCA,HPCA,226
TMEM54,TMEM54,226
RNF19B,RNF19B,226
AK2,AK2,227
AZIN2,AZIN2,227
TRIM62,TRIM62,228
ZNF362,ZNF362,229
A3GALT2,A3GALT2,229
PHC2,PHC2,229
MIR3605,MIR3605,229
RN7SKP16,RN7SKP16,229
PHC2-AS1,PHC2-AS1,229
TLR12P,TLR12P,230
ZSCAN20,ZSCAN20,230
CSMD2,CSMD2,231
HSPD1P14,HSPD1P14,233
HMGB4,HMGB4,233
CSMD2-AS1,CSMD2-AS1,233
RNA5SP42,RNA5SP42,235
C1orf94,C1orf94,235
MIR552,MIR552,239
SMIM12,SMIM12,239
GJB5,GJB5,239
GJB4,GJB4,240
GJB3,GJB3,240
GJA4,GJA4,240
DLGAP3,DLGAP3,240
GPR199P,GPR199P,241
TMEM35B,TMEM35B,241
ZMYM6,ZMYM6,241
ZMYM1,ZMYM1,241
RPL12P45,RPL12P45,242
EFCAB14P1,EFCAB14P1,242
SFPQ,SFPQ,243
ZMYM4,ZMYM4,243
RN7SL503P,RN7SL503P,243
RPL5P4,RPL5P4,244
ZMYM4-AS1,ZMYM4-AS1,244
KIAA0319L,KIAA0319L,244
NCDN,NCDN,245
TFAP2E-AS1,TFAP2E-AS1,245
TFAP2E,TFAP2E,245
PSMB2,PSMB2,246
C1orf216,C1orf216,246
CLSPN,CLSPN,247
AGO4,AGO4,247
AGO1,AGO1,248
CFAP97P1,CFAP97P1,248
AGO3,AGO3,248
TEKT2,TEKT2,249
ADPRS,ADPRS,249
COL8A2,COL8A2,249
TRAPPC3,TRAPPC3,250
MAP7D1,MAP7D1,250
RN7SL131P,RN7SL131P,250
THRAP3,THRAP3,250
UBE2V2P4,UBE2V2P4,250
SH3D21,SH3D21,251
EVA1B,EVA1B,251
STK40,STK40,251
LSM10,LSM10,251
RNU4-27P,RNU4-27P,252
OSCP1,OSCP1,252
SNORA63C,SNORA63C,252
MRPS15,MRPS15,252
CSF3R,CSF3R,252
FTLP18,FTLP18,253
GRIK3,GRIK3,254
MIR4255,MIR4255,257
RNU6-636P,RNU6-636P,257
RNA5SP43,RNA5SP43,258
RPS29P6,RPS29P6,258
ZC3H12A-DT,ZC3H12A-DT,258
ZC3H12A,ZC3H12A,259
MIR6732,MIR6732,259
MEAF6,MEAF6,259
MIR5581,MIR5581,259
SNIP1,SNIP1,260
FTH1P1,FTH1P1,260
DNALI1,DNALI1,260
GNL2,GNL2,260
RSPO1,RSPO1,260
C1orf109,C1orf109,261
CDCA8,CDCA8,261
EPHA10,EPHA10,261
ACTN4P2,ACTN4P2,262
MANEAL,MANEAL,262
YRDC,YRDC,262
C1orf122,C1orf122,262
MTF1,MTF1,262
INPP5B,INPP5B,262
RNU6-584P,RNU6-584P,262
SF3A3,SF3A3,263
RNU6-510P,RNU6-510P,263
FHL3,FHL3,263
UTP11,UTP11,263
POU3F1,POU3F1,263
MIR3659HG,MIR3659HG,263
MIR3659,MIR3659,264
LINC02786,LINC02786,264
LINC01343,LINC01343,265
RNU6-753P,RNU6-753P,266
LINC01685,LINC01685,267
HSPA5P1,HSPA5P1,268
RRAGC,RRAGC,269
RRAGC-DT,RRAGC-DT,269
MYCBP,MYCBP,269
GJA9,GJA9,269
RHBDL2,RHBDL2,270
RNU6-605P,RNU6-605P,270
EIF1P2,EIF1P2,270
AKIRIN1,AKIRIN1,270
NDUFS5,NDUFS5,271
MACF1,MACF1,271
RNU6-608P,RNU6-608P,271
RNA5SP44,RNA5SP44,272
HSPE1P8,HSPE1P8,273
BMP8A,BMP8A,274
OXCT2P1,OXCT2P1,274
PPIEL,PPIEL,274
PABPC4,PABPC4,274
PABPC4-AS1,PABPC4-AS1,274
SNORA55,SNORA55,274
HEYL,HEYL,275
NT5C1A,NT5C1A,275
HPCAL4,HPCAL4,275
PPIE,PPIE,275
RNU7-121P,RNU7-121P,276
